epsilon,seed,delta,epochs,batch_size,lr,max_grad_norm,noise_multiplier,test_accuracy
0.1,0,1e-05,5,256,0.2,1.0,5.3125,0.7202
0.1,1,1e-05,5,256,0.2,1.0,5.3125,0.7184
0.1,2,1e-05,5,256,0.2,1.0,5.3125,0.7136
0.1,3,1e-05,5,256,0.2,1.0,5.3125,0.7055
0.1,4,1e-05,5,256,0.2,1.0,5.3125,0.7217
0.5,0,1e-05,5,256,0.2,1.0,1.30859375,0.8802
0.5,1,1e-05,5,256,0.2,1.0,1.30859375,0.8865
0.5,2,1e-05,5,256,0.2,1.0,1.30859375,0.8712
0.5,3,1e-05,5,256,0.2,1.0,1.30859375,0.8835
0.5,4,1e-05,5,256,0.2,1.0,1.30859375,0.8819
1.0,0,1e-05,5,256,0.2,1.0,0.908203125,0.9082
1.0,1,1e-05,5,256,0.2,1.0,0.908203125,0.9115
1.0,2,1e-05,5,256,0.2,1.0,0.908203125,0.902
1.0,3,1e-05,5,256,0.2,1.0,0.908203125,0.9107
1.0,4,1e-05,5,256,0.2,1.0,0.908203125,0.9085
5.0,0,1e-05,5,256,0.2,1.0,0.5621337890625,0.9262
5.0,1,1e-05,5,256,0.2,1.0,0.5621337890625,0.9278
5.0,2,1e-05,5,256,0.2,1.0,0.5621337890625,0.9251
5.0,3,1e-05,5,256,0.2,1.0,0.5621337890625,0.9295
5.0,4,1e-05,5,256,0.2,1.0,0.5621337890625,0.9264
inf,0,1e-05,5,256,0.2,1.0,,0.9781
inf,1,1e-05,5,256,0.2,1.0,,0.9789
inf,2,1e-05,5,256,0.2,1.0,,0.9748
inf,3,1e-05,5,256,0.2,1.0,,0.9797
inf,4,1e-05,5,256,0.2,1.0,,0.9778
